#TYPE Selected.OleViewDotNet.Database.COMTypeLibVersionEntry
"TypelibId","Version","Name","Win32Path","Win64Path","Locale","Source","NativePath","ComGuid"
"3050f4e0-98b5-11cf-bb82-00aa00bdce0b","1.0","OptsHold 1.0 Type Library","C:\Windows\SysWOW64\mshtmled.dll","C:\Windows\System32\mshtmled.dll","0","LocalMachine","C:\Windows\System32\mshtmled.dll","3050f4e0-98b5-11cf-bb82-00aa00bdce0b"
"333c7bc1-460f-11d0-bc04-0080c7055a83","1.1","Tabular Data Control 1.1 Type Library","C:\Windows\SysWOW64\tdc.ocx","C:\Windows\System32\tdc.ocx","0","LocalMachine","C:\Windows\System32\tdc.ocx","333c7bc1-460f-11d0-bc04-0080c7055a83"
"338ba1b8-abb2-480a-aaca-db0a456d74d2","c.0","",,"C:\Program Files\Microsoft\Exchange Server\V15\Bin\Microsoft.Exchange.Irm.FormProtector.dll","0","LocalMachine","C:\Program Files\Microsoft\Exchange Server\V15\Bin\Microsoft.Exchange.Irm.FormProtector.dll","338ba1b8-abb2-480a-aaca-db0a456d74d2"
"35de99a0-7fb6-11d0-8817-00a0c903b83c","1.0","CertAdm 1.0 Type Library","C:\Windows\system32\certadm.dll",,"0","LocalMachine","C:\Windows\system32\certadm.dll","35de99a0-7fb6-11d0-8817-00a0c903b83c"
"372fce32-4324-11d0-8810-00a0c903b83c","1.0","CertCli 1.0 Type Library","C:\Windows\system32\certcli.dll",,"0","LocalMachine","C:\Windows\system32\certcli.dll","372fce32-4324-11d0-8810-00a0c903b83c"
"39c0a710-7636-11d0-b413-00a0c91bbf8c","1.0","Policy and Exit module legacy support","C:\Windows\system32\certadm.dll\2",,"0","LocalMachine","C:\Windows\system32\certadm.dll\2","39c0a710-7636-11d0-b413-00a0c91bbf8c"
"3baa3119-eca1-4a32-9a08-595e71ae9da9","1.0","Genesis Teletext Server 1.0 Type Library","C:\Windows\System32\WSTPager.ax",,"0","LocalMachine","C:\Windows\System32\WSTPager.ax","3baa3119-eca1-4a32-9a08-595e71ae9da9"
"3d5905e0-523c-11d1-9fea-00600832db4a","1.0","cic 1.0 Type Library","C:\Windows\system32\cic.dll","C:\Windows\system32\cic.dll","0","LocalMachine","C:\Windows\system32\cic.dll","3d5905e0-523c-11d1-9fea-00600832db4a"
"3de641ef-0556-4d4a-98d5-7dbd8ad5d70f","1.0","VssEvent 1.0 Type Library","C:\Windows\system32\eventcls.dll",,"0","LocalMachine","C:\Windows\system32\eventcls.dll","3de641ef-0556-4d4a-98d5-7dbd8ad5d70f"
"3e15c914-280e-4550-a5c0-8c1a8bf8ad52","1.0","WordCommentServer plug-in for local dictionary 1.0 Type Library","C:\Windows\SysWOW64\IME\IMEJP\imjpcmld.dll","C:\Windows\System32\IME\IMEJP\imjpcmld.dll","0","LocalMachine","C:\Windows\System32\IME\IMEJP\imjpcmld.dll","3e15c914-280e-4550-a5c0-8c1a8bf8ad52"
"3ea49599-af67-4142-b379-c54786f112b2","1.0","MsRdpWebAccess 1.0 Type Library","C:\Windows\SysWOW64\MsRdpWebAccess.dll","C:\Windows\System32\MsRdpWebAccess.dll","0","LocalMachine","C:\Windows\System32\MsRdpWebAccess.dll","3ea49599-af67-4142-b379-c54786f112b2"
"3f4daca7-160d-11d2-a8e9-00104b365c9f","1.0","Microsoft VBScript Regular Expressions 1.0","C:\Windows\SysWOW64\vbscript.dll\2","C:\Windows\System32\vbscript.dll\2","0","LocalMachine","C:\Windows\System32\vbscript.dll\2","3f4daca7-160d-11d2-a8e9-00104b365c9f"
"3f4daca7-160d-11d2-a8e9-00104b365c9f","5.5","Microsoft VBScript Regular Expressions 5.5","C:\Windows\SysWOW64\vbscript.dll\3","C:\Windows\System32\vbscript.dll\3","0","LocalMachine","C:\Windows\System32\vbscript.dll\3","3f4daca7-160d-11d2-a8e9-00104b365c9f"
"410381cd-af42-11d1-8f10-00c04fc2c17b","1.0","ComSnap 1.0 Type Library","C:\Windows\SysWOW64\comsnap.dll","C:\Windows\System32\comsnap.dll","0","LocalMachine","C:\Windows\System32\comsnap.dll","410381cd-af42-11d1-8f10-00c04fc2c17b"
"420b2830-e718-11cf-893d-00a0c9054228","1.0","Microsoft Scripting Runtime","C:\Windows\SysWOW64\scrrun.dll","C:\Windows\System32\scrrun.dll","0","LocalMachine","C:\Windows\System32\scrrun.dll","420b2830-e718-11cf-893d-00a0c9054228"
"430f7ecf-46fc-49fe-87c7-1ee9479a56d4","1.0","FMSLib",,"C:\Program Files\Microsoft\Exchange Server\V15\FIP-FS\Bin\fms.exe","0","LocalMachine","C:\Program Files\Microsoft\Exchange Server\V15\FIP-FS\Bin\fms.exe","430f7ecf-46fc-49fe-87c7-1ee9479a56d4"
